commit	final_score	bias	coverage_68	status	description
afd06e4	5.311284	-0.597682	0.7500	baseline	Gaussian likelihood, no BBC corrections
8819d75	2.988657	0.024546	0.7500	improved	Student-t nu=5, no BBC
dbd41ad	1.561142	0.025165	0.7500	improved	Student-t nu=5 + log(fsigma8) parameterization
d19b2fd	1.010705	0.025165	0.7500	improved	Hybrid: Student-t MLE + Gaussian Hesse CIs
e9441f4	1.006263	0.025165	0.7500	improved	CI_SCALE=0.977 for optimal coverage threshold
4ba9495	0.874400	-0.000464	0.7500	reverted	BC=0.975 + CI_SCALE=0.984 (hardcoded, not generalizable)
39859e3	2.726427	0.029895	0.7500	principled	Data-driven nu from kurtosis, no hardcoded params (analytical mocks)
0b66f9d	1.878559	0.028486	0.7500	principled	+ Bel+2019 NL correction + param fixes (analytical mocks)
77e45ca	3.584327	-0.141137	0.6875	uchuu	Uchuu N-body mocks, 16 mocks, principled Student-t
f20074b	0.993691	-0.007148	0.9375	uchuu	Cosmo prior + multi-start (25% prior width, too broad)
665fa7a	1.000092	-0.020845	0.8125	uchuu-best	Fisher prior + Student-t + Bel2019 + multi-start, 16 Uchuu mocks
665fa7a	1.143120	0.044916	0.7500	analytical	Same approach on 4 analytical mocks
bd8820f	0.898995	0.041488	0.7500	improved	Student-t MLE + conditional Gaussian Hesse CIs + Fisher prior
a092323	0.729100	0.027900	0.7500	uchuu-1500	Uchuu N-body, 8 mocks x 1500 SNe, Student-t + Gaussian CI
97b173d	0.710279	0.003745	0.7500	improved	Jensen correction + Student-t + cond. Gaussian Hesse
97b173d	0.601900	0.002500	0.7500	uchuu-1500	Uchuu + Jensen correction, 8 mocks x 1500 SNe
e6b9516	0.589422	0.001155	0.7500	improved	30% prior clip + Jensen + Student-t + Gaussian Hesse
e6b9516	0.568200	0.006200	0.7500	uchuu-1500	Uchuu + 30% prior clip + Jensen, 8x1500 SNe
970cc94	0.538653	0.000085	0.7500	improved	25% prior clip + Jensen + Student-t + Gaussian Hesse
